spending,xx,yy,total,budget
Food,100,100,36,in budget
Food,10,110,36,135% over budget
Food,20,110,36,135% over budget
Food,30,110,36,135% over budget
Food,40,110,36,135% over budget
Food,50,110,36,135% over budget
Food,60,110,36,135% over budget
Food,70,110,36,135% over budget
Food,80,110,36,135% over budget
Food,90,110,36,135% over budget
Food,100,110,36,135% over budget
Food,10,120,36,135% over budget
Food,20,120,36,135% over budget
Food,30,120,36,135% over budget
Food,40,120,36,135% over budget
Food,50,120,36,135% over budget
Food,60,120,36,135% over budget
Food,70,120,36,135% over budget
Food,80,120,36,135% over budget
Food,90,120,36,135% over budget
Food,100,120,36,135% over budget
Food,10,130,36,135% over budget
Food,20,130,36,135% over budget
Food,30,130,36,135% over budget
Food,40,130,36,135% over budget
Food,50,130,36,135% over budget
Food,60,130,36,135% over budget
Food,70,130,36,135% over budget
Food,80,130,36,135% over budget
Food,90,130,36,135% over budget
Food,100,130,36,135% over budget
Transportation,10,140,37,135% over budget
Transportation,20,140,37,135% over budget
Transportation,30,140,37,135% over budget
Transportation,40,140,37,135% over budget
Transportation,50,140,37,135% over budget
Transportation,60,140,37,135% over budget
Transportation,70,140,37,135% over budget
Transportation,80,140,37,135% over budget
Transportation,90,140,37,135% over budget
Transportation,100,140,37,135% over budget
Transportation,10,150,37,135% over budget
Transportation,20,150,37,135% over budget
Transportation,30,150,37,135% over budget
Transportation,40,150,37,135% over budget
Transportation,50,150,37,135% over budget
Transportation,60,150,37,135% over budget
Transportation,70,150,37,135% over budget
Transportation,80,150,37,135% over budget
Transportation,90,150,37,135% over budget
Transportation,100,150,37,135% over budget
Transportation,10,160,37,135% over budget
Transportation,20,160,37,135% over budget
Transportation,30,160,37,135% over budget
Transportation,40,160,37,135% over budget
Transportation,50,160,37,135% over budget
Transportation,60,160,37,135% over budget
Transportation,70,160,37,135% over budget
Transportation,80,160,37,135% over budget
Transportation,90,160,37,135% over budget
Transportation,100,160,37,135% over budget
Transportation,10,170,37,135% over budget
Transportation,20,170,37,135% over budget
Transportation,40,170,37,135% over budget
Transportation,30,170,37,135% over budget
Transportation,50,170,37,135% over budget
Transportation,60,170,37,135% over budget
Transportation,70,170,37,135% over budget
Healthcare,80,170,23,135% over budget
Healthcare,90,170,23,135% over budget
Healthcare,100,170,23,135% over budget
Healthcare,10,180,23,135% over budget
Healthcare,20,180,23,135% over budget
Healthcare,30,180,23,135% over budget
Healthcare,40,180,23,135% over budget
Healthcare,50,180,23,135% over budget
Healthcare,60,180,23,135% over budget
Healthcare,70,180,23,135% over budget
Healthcare,80,180,23,135% over budget
Healthcare,90,180,23,135% over budget
Healthcare,100,180,23,135% over budget
Healthcare,10,190,23,135% over budget
Healthcare,20,190,23,135% over budget
Healthcare,30,190,23,135% over budget
Healthcare,40,190,23,135% over budget
Healthcare,50,190,23,135% over budget
Healthcare,60,190,23,135% over budget
Healthcare,70,190,23,135% over budget
Healthcare,80,190,23,135% over budget
Healthcare,90,190,23,135% over budget
Healthcare,100,190,23,135% over budget
Apparel,10,200,10,135% over budget
Apparel,20,200,10,135% over budget
Apparel,30,200,10,135% over budget
Apparel,40,200,10,135% over budget
Apparel,50,200,10,135% over budget
Apparel,60,200,10,135% over budget
Apparel,70,200,10,135% over budget
Apparel,80,200,10,135% over budget
Apparel,90,200,10,135% over budget
Apparel,100,200,10,135% over budget
Education,10,210,6,135% over budget
Education,20,210,6,135% over budget
Education,30,210,6,135% over budget
Education,40,210,6,135% over budget
Education,50,210,6,135% over budget
Education,60,210,6,135% over budget
Entertainment,70,210,10,135% over budget
Entertainment,80,210,10,135% over budget
Entertainment,90,210,10,135% over budget
Entertainment,100,210,10,135% over budget
Entertainment,10,220,10,135% over budget
Entertainment,20,220,10,135% over budget
Entertainment,30,220,10,135% over budget
Entertainment,40,220,10,135% over budget
Entertainment,50,220,10,135% over budget
Entertainment,60,220,10,135% over budget
Miscellaneous,70,220,5,135% over budget
Miscellaneous,80,220,5,135% over budget
Miscellaneous,90,220,5,135% over budget
Miscellaneous,100,220,5,135% over budget
Miscellaneous,10,230,5,135% over budget
Miscellaneous,20,230,14,135% over budget
Miscellaneous,30,230,14,135% over budget
Miscellaneous,40,230,14,135% over budget
Miscellaneous,50,230,14,135% over budget
Miscellaneous,60,230,14,135% over budget
Miscellaneous,70,230,14,135% over budget
Miscellaneous,80,230,14,135% over budget
Miscellaneous,90,230,14,135% over budget
Miscellaneous,100,230,14,135% over budget
Miscellaneous,10,240,14,135% over budget
Miscellaneous,20,240,14,135% over budget
Miscellaneous,30,240,14,135% over budget
Miscellaneous,40,240,14,135% over budget
Miscellaneous,50,240,14,135% over budget
